Unnamed: 0,id,company,location,postDate,title scraped for,Country,upper_salary,lower_salary,payment_frequency,State,age,Position,year_of_exp,contract_type,eligibility,title_cleaned,skills_list
2466,job_417b9e260907aec7,"JPMorgan Chase Bank, N.A.","Bengaluru, Karnataka",Posted 7 days ago,Business Analyst,India,,,,Bengaluru,,,200.0,,undergraduate,PB Business Management Analyst,"['C', 'client', 'PowerPoint', 'MS Office', 'Excel']"
2467,job_be343c1f5354390a,CGI Inc,"Bengaluru, Karnataka",Posted 13 days ago,Business Analyst,India,,,,Bengaluru,,,5.0,,undergraduate,Business Analyst,"['D', 'C', 'client', 'Go', 'R', 'CGI', 'BA']"
2468,job_8abb94f86975721a,Barclays,"Pune, Maharashtra",Posted 7 days ago,Business Analyst,India,,,,Pune,,,8.0,,postgraduate,Technical Business Analyst,"['D', 'C', 'client', 'R', 'Vi', 'Excel']"
2469,job_c519901dac8e8f00,EY,"Gurgaon Road, Delhi",10 days ago,Business Analyst,India,,,,Gurgaon Road,,,,,undergraduate,Analyst   Business Consulting Risk   CHS   Risk,"['D', 'client', 'C', 'Go']"
2470,job_b844a2dfc64b933c,AddWeb Solution,"Ahmedabad, Gujarat",8 days ago,Business Analyst,India,850000.0,450000.0,Yearly,Ahmedabad,,,5.0,,postgraduate,Business Analyst,"['C', 'Excel']"
2471,job_ed8daa562435a97b,Tata Communications,"New Delhi, Delhi",7 days ago,Business Analyst,India,,,,New Delhi,,Senior Level,4.0,,,Senior Analyst   Business Support Operations   ...,"['D', 'R']"
2472,job_8b1e66d0c48b8c7a,Simplifai,"Pune, Maharashtra",12 days ago,Business Analyst,India,,,,Pune,,,2.0,,,Business Analyst,"['ML', 'C', 'Vi', 'Excel']"
2473,job_12a44661f281b2cc,Balbhas,"Chennai, Tamil Nadu",12 days ago,Business Analyst,India,,,,Chennai,,,,,,Business Analyst,['R']
2474,job_94c4840bdaf6ea3b,NetApp,"Bengaluru, Karnataka",11 days ago,Business Analyst,India,,,,Bengaluru,,,3.0,,,Business Analyst,"['D', 'C', 'R']"
2475,job_328c3bd04f9ece5b,"Owens Asia, Inc..","Thane, Maharashtra",11 days ago,Business Analyst,India,,,,Thane,,,3.0,Full-time,,Technical Business Analyst,"['http', 'D', 'C', 'R', 'SDLC', 'Communication Skills', 'Excel']"
